ID,ScanNumber,Ketamine,Dexdomitor,Atipamezole,Isoflurane
31,4,49.0,0.015,0.15,2.5
31,5,64.0,0.03,0.3,2.5
32,1,0.0,0.0,0.0,0.0
32,2,19.0,0.0,0.0,1.5
32,3,39.0,0.0,0.0,3.0
32,4,54.0,0.015,0.15,3.0
32,5,69.0,0.03,0.3,3.0
33,1,0.0,0.0,0.0,0.0
33,2,15.0,0.0,0.0,1.5
33,3,30.0,0.015,0.15,1.5
33,4,45.0,0.03,0.3,1.5
34,1,0.0,0.0,0.0,0.0
34,2,19.0,0.0,0.0,1.25
34,3,39.0,0.0,0.0,2.5
34,4,54.0,0.015,0.15,2.5
34,5,69.0,0.03,0.3,2.5
35,1,0.0,0.0,0.0,0.0
35,2,20.0,0.0,0.0,1.5
35,3,40.0,0.0,0.0,3.0
35,4,55.0,0.015,0.15,3.0
35,5,70.0,0.03,0.3,3.0
36,1,0.0,0.0,0.0,0.0
36,2,20.0,0.0,0.0,1.5
36,3,35.0,0.0,0.0,3.0
36,4,50.0,0.015,0.15,3.0
36,5,65.0,0.03,0.3,3.0
